"","age","gender","country","Impair","CI_low","CI_up"
"1","75-80","man","Austria",0.528050001922718,0.528050001922718,0.528050001922718
"2","80-85","man","Austria",0.617054546753238,0.617054546753238,0.617054546753238
"3","85+","man","Austria",0.608219295220294,0.608219295220294,0.608219295220294
"4","75-80","woman","Austria",0.634214338803732,0.634214338803732,0.634214338803732
"5","80-85","woman","Austria",0.73369900032039,0.73369900032039,0.73369900032039
"6","85+","woman","Austria",0.807326915355307,0.807326915355307,0.807326915355307
"7","75-80","man","Germany",0.534676468068732,0.460060474649729,0.609292461487736
"8","80-85","man","Germany",0.674467695310962,0.567282561486289,0.781652829135635
"9","85+","man","Germany",0.595117225105299,0.385179789625132,0.805054660585467
"10","75-80","woman","Germany",0.572995831746686,0.498291850761545,0.647699812731828
"11","80-85","woman","Germany",0.675505975861091,0.602979616225818,0.748032335496364
"12","85+","woman","Germany",0.814788870357697,0.717616585980974,0.91196115473442
"13","75-80","man","Sweden",0.336289464718118,0.253054729318306,0.41952420011793
"14","80-85","man","Sweden",0.442736810478193,0.364415312317595,0.521058308638791
"15","85+","man","Sweden",0.454951808690816,0.361076579259898,0.548827038121735
"16","75-80","woman","Sweden",0.267298446258237,0.201604379512895,0.332992513003578
"17","80-85","woman","Sweden",0.456141224678883,0.370559072662286,0.541723376695479
"18","85+","woman","Sweden",0.626069413013082,0.543431575564789,0.708707250461374
"19","75-80","man","Netherlands",0.218698226686789,0.148346332465366,0.289050120908213
"20","80-85","man","Netherlands",0.289515389658874,0.237203072776867,0.341827706540881
"21","85+","man","Netherlands",0.402371617842902,0.230482250943584,0.574260984742221
"22","75-80","woman","Netherlands",0.287792349822156,0.219321727178988,0.356262972465323
"23","80-85","woman","Netherlands",0.363232260360815,0.291323177771284,0.435141342950345
"24","85+","woman","Netherlands",0.591201472272704,0.51180055151047,0.670602393034939
"25","75-80","man","Spain",0.452977550761137,0.378563303542012,0.527391797980263
"26","80-85","man","Spain",0.581671018993173,0.484542848237665,0.678799189748681
"27","85+","man","Spain",0.71239302653388,0.6061735803234,0.818612472744359
"28","75-80","woman","Spain",0.664452092978852,0.598456435391553,0.730447750566151
"29","80-85","woman","Spain",0.701191659741868,0.629638153445031,0.772745166038704
"30","85+","woman","Spain",0.76352528664684,0.681488380015927,0.845562193277752
"31","75-80","man","Italy",0.573637605013565,0.501472498295545,0.645802711731584
"32","80-85","man","Italy",0.58633799542106,0.484868340149872,0.687807650692248
"33","85+","man","Italy",0.824292632254945,0.723336279291211,0.925248985218678
"34","75-80","woman","Italy",0.599788805091431,0.529306120937046,0.670271489245815
"35","80-85","woman","Italy",0.682450114224808,0.600284573985949,0.764615654463666
"36","85+","woman","Italy",0.794471454472317,0.674633173583241,0.914309735361394
"37","75-80","man","France",0.397898378797776,0.327153661436166,0.468643096159386
"38","80-85","man","France",0.38732499491899,0.303799584967031,0.470850404870948
"39","85+","man","France",0.560847615188869,0.482275112668041,0.639420117709697
"40","75-80","woman","France",0.383458941811789,0.341446540712688,0.425471342910889
"41","80-85","woman","France",0.500163896055926,0.427238875460139,0.573088916651712
"42","85+","woman","France",0.661853435296848,0.609562604159815,0.714144266433881
"43","75-80","man","Denmark",0.266731750114535,0.172032363851079,0.36143113637799
"44","80-85","man","Denmark",0.30384124831243,0.20134139859142,0.406341098033439
"45","85+","man","Denmark",0.390725442659778,0.197446511052383,0.584004374267174
"46","75-80","woman","Denmark",0.256633864392266,0.208934109567713,0.304333619216819
"47","80-85","woman","Denmark",0.351575812055669,0.20797443760381,0.495177186507527
"48","85+","woman","Denmark",0.52075439544266,0.459479589470607,0.582029201414713
"49","75-80","man","Greece",0.536057920278302,0.464445884693906,0.607669955862697
"50","80-85","man","Greece",0.626796483143748,0.544449114468825,0.709143851818671
"51","85+","man","Greece",0.816436294774966,0.742837704282673,0.890034885267258
"52","75-80","woman","Greece",0.607047553102415,0.540705023921214,0.673390082283616
"53","80-85","woman","Greece",0.718416861861303,0.620974374261355,0.815859349461251
"54","85+","woman","Greece",0.808303018876258,0.726604238030549,0.890001799721966
"55","75-80","man","Switzerland",0.305805544601747,0.244965266365292,0.366645822838202
"56","80-85","man","Switzerland",0.195124439730868,-0.0142179690547774,0.404466848516513
"57","85+","man","Switzerland",0.513050627574758,0.423878826789849,0.602222428359667
"58","75-80","woman","Switzerland",0.268189608073304,0.210689057338874,0.325690158807733
"59","80-85","woman","Switzerland",0.328345897195965,0.273622999706305,0.383068794685624
"60","85+","woman","Switzerland",0.446517948187637,0.329725409347292,0.563310487027982
"61","75-80","man","Belgium",0.274864152283224,0.201937965654272,0.347790338912177
"62","80-85","man","Belgium",0.377495349963591,0.298260578794173,0.45673012113301
"63","85+","man","Belgium",0.504910371861961,0.383834767636571,0.625985976087351
"64","75-80","woman","Belgium",0.391052998319159,0.319205751881614,0.462900244756703
"65","80-85","woman","Belgium",0.452753971300453,0.382295001980566,0.523212940620339
"66","85+","woman","Belgium",0.626255799654407,0.534012413599212,0.718499185709601
"67","75-80","man","Israel",0.433137623726677,0.341862546093118,0.524412701360237
"68","80-85","man","Israel",0.54126815598658,0.434162015255698,0.648374296717463
"69","85+","man","Israel",0.745853636570504,0.659413342497802,0.832293930643206
"70","75-80","woman","Israel",0.620155595974926,0.545704550253716,0.694606641696136
"71","80-85","woman","Israel",0.705471892580774,0.60653384810396,0.804409937057589
"72","85+","woman","Israel",0.839606193106471,0.749833871565634,0.929378514647309
"73","75-80","man","Czech Republic",0.350069133824136,0.206150841753408,0.493987425894864
"74","80-85","man","Czech Republic",0.611727068046905,0.464493602212237,0.758960533881573
"75","85+","man","Czech Republic",0.538739117743388,0.327508624343249,0.749969611143527
"76","75-80","woman","Czech Republic",0.516562917864629,0.37968705704855,0.653438778680709
"77","80-85","woman","Czech Republic",0.649608280119023,0.52283910462589,0.776377455612156
"78","85+","woman","Czech Republic",0.758583663530438,0.602022737913793,0.915144589147083
"79","75-80","man","Poland",0.595123778928024,0.461030663936137,0.729216893919911
"80","80-85","man","Poland",0.493655451382241,0.400494741500828,0.586816161263653
"81","85+","man","Poland",0.654817894356008,0.472747380889414,0.836888407822602
"82","75-80","woman","Poland",0.654828083625391,0.594142019606936,0.715514147643847
"83","80-85","woman","Poland",0.836855637041735,0.800481235404488,0.873230038678982
"84","85+","woman","Poland",0.910448509723414,0.882970705297066,0.937926314149762
"85","75-80","man","Ireland",0.529394324810784,0.285239864502354,0.773548785119214
"86","80-85","man","Ireland",0.376727731055318,0.266636678008037,0.4868187841026
"87","85+","man","Ireland",0.384595504175148,0.106239444873048,0.662951563477249
"88","75-80","woman","Ireland",0.449271950043854,0.40150981904368,0.497034081044027
"89","80-85","woman","Ireland",0.546378738150883,0.532088469228477,0.560669007073289
"90","85+","woman","Ireland",0.904763175076144,0.886981218734079,0.922545131418209
